label_name,mask_count_2d,gaussian_count_3d,appears_in_2d,appears_in_3d,percentage_of_total_gaussians,percentage_of_labelled_gaussians
unlabelled,0,297666,False,True,61.442843578417204,
ceiling,162,56185,True,True,11.597448705775502,30.07858924804865
door,192,26289,True,True,5.426454196424886,14.073792520102359
sofa,115,25917,True,True,5.3496676712215665,13.874642654474982
floor,180,18613,True,True,3.8420096602402674,9.964452819683716
picture frame,234,14810,True,True,3.057011930809561,7.928520188014605
chair,244,9036,True,True,1.8651694670354622,4.837414477981091
bed,143,6731,True,True,1.3893819923213475,3.603434799832971
mirror,100,6074,True,True,1.25376708087355,3.2517104403781705
plant,93,6072,True,True,1.253354250092887,3.250639742175873
television,0,3106,False,True,0.6411262023696487,1.6627943081683565
rug,122,3047,True,True,0.62894769434009,1.631208711200574
shelf,0,2942,False,True,0.6072740783552821,1.5749970555799437
window,87,2438,True,True,0.5032407216282045,1.3051811086009186
desk,123,1627,True,True,0.3358378400693556,0.8710129875691939
wall,85,1549,True,True,0.3197374396234983,0.8292557576795828
pillow,479,1023,True,True,0.2111629443091277,0.5476621304752829
cup,242,431,True,True,0.08896503323287784,0.2307354625951583
lamp,253,429,True,True,0.08855220245221483,0.22966476439286057
table,0,381,False,True,0.07864426371630269,0.20396800753771535
fireplace,2,73,True,True,0.015068323494199728,0.03908048438386672
sink,20,17,True,True,0.003509061635635553,0.009100934719530607
curtain,43,4,True,True,0.0008256615613260125,0.002141396404595437
shelf cabinet bookshelf,81,0,True,False,0.0,0.0
table desk,75,0,True,False,0.0,0.0
monitor television,43,0,True,False,0.0,0.0
sofa bed,27,0,True,False,0.0,0.0
chair sofa,10,0,True,False,0.0,0.0
window picture frame,7,0,True,False,0.0,0.0
wardrobe,6,0,True,False,0.0,0.0
window mirror,6,0,True,False,0.0,0.0
floor rug,5,0,True,False,0.0,0.0
shelf cabinet wardrobe bookshelf,5,0,True,False,0.0,0.0
window curtain,5,0,True,False,0.0,0.0
door wardrobe,4,0,True,False,0.0,0.0
curtain wardrobe,3,0,True,False,0.0,0.0
laptop,3,0,True,False,0.0,0.0
chair sofa rug,2,0,True,False,0.0,0.0
cup lamp,2,0,True,False,0.0,0.0
monitor mirror television,2,0,True,False,0.0,0.0
shelf cabinet,2,0,True,False,0.0,0.0
bed rug,1,0,True,False,0.0,0.0
bookshelf,1,0,True,False,0.0,0.0
chair bed,1,0,True,False,0.0,0.0
chair desk,1,0,True,False,0.0,0.0
chair rug,1,0,True,False,0.0,0.0
chair rug pillow,1,0,True,False,0.0,0.0
chair table desk,1,0,True,False,0.0,0.0
mirror fireplace,1,0,True,False,0.0,0.0
monitor,1,0,True,False,0.0,0.0
monitor mirror,1,0,True,False,0.0,0.0
monitor window picture frame,1,0,True,False,0.0,0.0
shelf cabinet wardrobe books,1,0,True,False,0.0,0.0
sofa bookshelf,1,0,True,False,0.0,0.0
wall curtain,1,0,True,False,0.0,0.0
wardrobe bookshel,1,0,True,False,0.0,0.0
window picture,1,0,True,False,0.0,0.0
